QueryType,QueryText,KccAns
Nutrient Management,Information regarding the recommended dose of fertilizers for wheat ,Inoculate the 40 kg wheat seed with 500 gram consortium or 250 gram azotobacter and 250 gram streptomyces (azo-s) bio-fertilizer and one litre of water on pucca floor. let it dry in shade and sow immediately.
Nutrient Management,Information regarding prepration of bordeaux mixture,"To improve the fruit quality of kinnow crop spray 10 gram npk-13:0:45 per litre of water in may,june and july month."
Nutrient Management,Information regarding training and pruning in citrus,"To improve the fruit quality of kinnow crop spray 10 gram npk-13:0:45 per litre of water in may,june and july month."
Nutrient Management,Infornation regarding control of zinc deficieny in citrus,"To improve the fruit quality of kinnow crop spray 10 gram npk-13:0:45 per litre of water in may,june and july month."
Nutrient Management,Information regarding improving fruit size and quality,"To improve the fruit quality of kinnow crop spray 10 gram npk-13:0:45 per litre of water in may,june and july month."
Plant Protection,Information regarding do we can spray near harvesting stage of basmati ,No need to spray any fungicide near harvesting stage of basamti
Seeds and Planting Material,Information regarding sowing time of pea,Spray 40 ml coragen(chlorantraniliprole 18.5 sc) in 80 litres of water per acre for the control of maize borer.
Plant Protection,"Information regarding control of pea leaf miner,thrips and aphid",For better yield of pea spray 1 kg n p k 13 00 45 in 100 litres of water per acre at the flowering stage of crop.
Nutrient Management,Information regarding the better quality of pea ,For better yield of pea spray 1 kg n p k 13 00 45 in 100 litres of water per acre at the flowering stage of crop.
Fertilizer Use and Availability,Information regarding the varieties of wheat which are suitable for sowing under popular trees,"The varieties of wheat suitable for sowing under popular trees-hd 2967, wh 1105, pbw 550, pbw 677, pbw 725"
Cultural Practices,Information regarding improved varieties of pea in main season,"Improved varieties of pea of main season are punjab 89,mithi phali."
Cultural Practices,Information regarding seed rate in pea,"Improved varieties of pea of main season are punjab 89,mithi phali."
Fertilizer Use and Availability,Information regarding manures and fertilizers used in pea crop,"Improved varieties of pea of main season are punjab 89,mithi phali."
Cultural Practices,Information regarding spacing in pea crop,"Improved varieties of pea of main season are punjab 89,mithi phali."
Plant Protection,Information regarding control of garlic thrips,Spray profenophos@10 ml or carbosulfan@10 ml+ mancozeb@25 gm/10 ltr water by 8-10 days interval.
Varieties,Information regarding varieties of soybean,"Recommended varieties of soybean-sl 958,sl-74,average yield of these varieties are 7.30 quintal per acre."
Varieties,Information regarding the detail about the varieties of wheat ,The seed rate of all wheat varieties is 40 kg per acre but seed rate of unnat pbw 550 and pbw 550 is 45 kg per acre.
Cultural Practices,Information regarding the seed rate of wheat,The seed rate of all wheat varieties is 40 kg per acre but seed rate of unnat pbw 550 and pbw 550 is 45 kg per acre.
Nutrient Management,Information regarding the recommended dose of fertilizers for wheat ,The seed rate of all wheat varieties is 40 kg per acre but seed rate of unnat pbw 550 and pbw 550 is 45 kg per acre.
Seeds,Information regarding seed rate of barseem,Seed rate of barseem is 8-10kg per acre.
Nutrient Management,Information regarding the recommended dose of fertilizers for wheat ,"Fertilizers for wheat crop-apply 110 kg urea, 55 kg dap or 155 kg super phosphate, 40 kg muriate of potash (in gurdaspur, hoshiarpur ropar and shaheed bhagat singh nagar districts) or 20 kg muriate of potash in other areas of punjab based on the soil testing report.if dap is used for phosphorous reduce urea 20 kg.you can also apply npk (12:32:16) 80 kg per acre rather than dap,then apply 90 kilo urrea at first and second irrigation."
Agriculture Mechanization,Information regarding contact no. of patiala kvk,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460"
Plant Protection,"Information regarding for control of wilt, root rot and collar rot in pea","For control of wilt, root rot and collar rot in pea, treat seed with 1 gram bavistin or 2 gram captan per kg seed before sowing."
Seeds and Planting Material,Information regarding seed rate in pea,"For control of wilt, root rot and collar rot in pea, treat seed with 1 gram bavistin or 2 gram captan per kg seed before sowing."
Training and Exposure Visits,"Information regarding contact no. of punjab agricultural university, ludhiana","For control of wilt, root rot and collar rot in pea, treat seed with 1 gram bavistin or 2 gram captan per kg seed before sowing."
Sowing Time and Weather,Information regarding the detail about the varieties of wheat ,"Sowing time of wheat- from 4th week of october to 4th week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Varieties,Information regarding new variety of wheat ,The contact no. of punjab mandi board is 1800-270-0224. or 0172-2210125.
Seeds,Information regarding the depth sowing of wheat ,The depth of sowingis 3.5 to 5.0 cm in wheat
Varieties,Information regarding the detail about the varieties of wheat ,Sowing time of wheat- from 2nd week of november to 4th week of november varieties are unnat pbw 550 and pbw 550.
Seeds,Information regarding the seed rate of wheat,Sowing time of wheat- from 2nd week of november to 4th week of november varieties are unnat pbw 550 and pbw 550.
Sowing Time and Weather,Information regarding sowing time of wheat,Sowing time of wheat- from 2nd week of november to 4th week of november varieties are unnat pbw 550 and pbw 550.
Sowing Time and Weather,Information regrading sowing time of wheat,Sowing time of wheat- from 2nd week of november to 4th week of november varieties are unnat pbw 550 and pbw 550.
Training and Exposure Visits,Information regarding contact of iari ,Contact number of iari is a 1800-11-8989 .
Weed Management,Information regarding the pre-emergence herbicides used in the wheat,Contact number of iari is a 1800-11-8989 .
Sowing Time and Weather,Information regarding the detail about the timely sowing varieties of wheat,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal, height-100 cms and time-155 days),unnat pbw 550 (yield-23 quintal, height-86 cms and time-145 days), pbw 1 zinc (yield-22.5 quintal, height-103 cms and time-151 days), pbw 725(yield-22.9 quintal, height-105 cm and time-154 days), pbw 677(yield-22.4 quintal, height-107 cms and time-157 days), hd 3086(yield-23 quintal, height-96 cms and time-156 days), hd 2967(yield-21.4 quintal, height- 101 cms and time-157 days), wh 1105(yield-23.1 quintal, height- 97 cms and time-157 days), pbw 621(yield-21.1 quintal, height-100 cms and time-158 days) and pbw 550(yield-20.8 quintal, height-86 cms and time-146 days)."
Fertilizer Use and Availability,Information regarding fertilizer used in chilli for kitchen garden,"Fertilizers for chilli are 28 kg urea, 75 kg superphosphate,20 kg mop"
Varieties,Information regarding machinery for agriculture ,Dr. mahesh kumar narang (for agriculture machinery) ex no. 446 ph. 94173-83464
Plant Protection,Information regarding control of fruit fly in fruits,Control of fruit fly in fruits spray 1250 ml sumicidin 20ec (fenvalerate) in 500 litre of water at weekly intervals on ripening fruits and to control fruit fly fix pau fruit fly traps @16 traps per acre in the month of august.
Cultural Practices,Information regarding the detail about the timely sowing varieties of wheat,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Training and Exposure Visits,"Information regarding contact no. of punjab agricultural university, ludhiana",The contact no. of punjab agricultural university ludhiana is 0161-2401960.
Government Schemes,Information regarding contact no. of kvk sangrur ,The contact no. of sangrur kvk is 01672-245320.99881-11757
Sowing Time and Weather,Information regarding the seed inoculation in wheat ,Inoculate the 40 kg wheat seed with 500 gram consortium or 250 gram azotobacter and 250 gram streptomyces (azo-s) bio-fertilizer and one litre of water on pucca floor. let it dry in shade and sow immediately.
Water Management,Information regarding the correct time for first irrigation to the wheat crop,Apply the first irrigation to the wheat crop after 20-25 days of sowing at the crown root initiation stage of the crop.
Fertilizer Use and Availability,Information regarding the recommended dose of fertilizers for wheat ,The sowing time of timely sowing varieties of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Fertilizer Use and Availability,Information regarding the timing of fertilizer application in wheat crop,The sowing time of timely sowing varieties of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Seeds,Information regarding seed rate of wheat,"Seed rate of wheat is 40kg per acre for varieties - unnat pbw 343,pbw 1 zinc,pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621, whd 943 , pdw291 and tl-2908."
Nutrient Management,Information regarding control of reddening of leaves ,For manganese deficiency in barseem spray manganese sulphate 1kg in 200 litres of water per acre 2-3 days on sunny days.
Cultural Practices,Information regarding sowing time of chilli ,Sowing time of chilli nursery is from end october to mid november and transplanting time is february- march.
Cultural Practices,Information regarding improved pea variety punjab-89,Spray 40 ml coragen(chlorantraniliprole 18.5 sc) in 80 litres of water per acre for the control of maize borer.
Cultural Practices,Information regarding seed rate in pea,Spray 40 ml coragen(chlorantraniliprole 18.5 sc) in 80 litres of water per acre for the control of maize borer.
Seeds and Planting Material,Information regarding hau helpline no.,"H.a.u. helpline number hisar-1800-180-3001 contact :-monday ,wednesday,and friday (10 am to 12 am) or call telephone no. 01662-255433 & 34"
Cultural Practices,Information regarding control of termite in wheat ,Treat the seed with cruzer(thiomethoxam) 70ws 40 gm or nionix (imidacloprid + hexaconazole) 80 ml with 40 kg of seed
Cultural Practices,Information regarding the seed treatment of wheat for protection from loose smut and flag smut,Treat the seed with cruzer(thiomethoxam) 70ws 40 gm or nionix (imidacloprid + hexaconazole) 80 ml with 40 kg of seed
Cultural Practices,Information regarding the seed inoculation in wheat ,Treat the seed with cruzer(thiomethoxam) 70ws 40 gm or nionix (imidacloprid + hexaconazole) 80 ml with 40 kg of seed
Varieties,Information regarding the detail about the varieties of wheat ,"No any new timely sowing wheat variety is released by the punjab agricultural university ludhiana but one late variety is released which is suitable for sowing in december month pbw 752 (yield-19.2 quintal, height-89 cms and time-130 days)"
Varieties,Information regarding the new varieties of wheat ,"No any new timely sowing wheat variety is released by the punjab agricultural university ludhiana but one late variety is released which is suitable for sowing in december month pbw 752 (yield-19.2 quintal, height-89 cms and time-130 days)"
